T1,T2,T3
0.88598174,0.8246702,0.84177506
0.89334446,0.88819575,0.9012047
0.94767606,0.946741,0.8558583
0.95761204,0.86285895,0.78890735
0.88439137,0.8594373,0.8656485
0.9652781,0.95730394,0.9502713
0.9030858,0.8758885,0.8936653
0.86246306,0.8434789,0.82456243
0.96959364,0.9613631,0.96140075
0.92562234,0.915621,0.9080297
0.8290443,0.8258281,0.7837493
0.93378454,0.7997445,0.85046875
0.8477667,0.7882049,0.77414304
0.87825286,0.8468665,0.8555594
0.65949434,0.6460062,0.6074007
0.9344392,0.93264735,0.93752104
0.8806181,0.8399296,0.83225596
0.93632966,0.93406516,0.9245683
0.82678473,0.8438399,0.82339823
0.91788226,0.91815674,0.91164637
0.81713986,0.6877052,0.74040484
0.9263238,0.865936,0.8494059
0.95884913,0.9346781,0.93671817
0.9029531,0.8675025,0.84434515
0.86454725,0.80538595,0.7558843
0.96889937,0.96175057,0.94042546
0.91195107,0.8957275,0.8896327
0.8693369,0.78524196,0.82426804
0.8487398,0.86979496,0.87080514
0.9170015,0.9165691,0.8975135
0.79836667,0.80451715,0.7387618
0.9307914,0.94045424,0.9267245
0.87872005,0.8621723,0.79266274
0.8393315,0.8543725,0.85294265
0.9168514,0.9043548,0.87692845
0.9654024,0.95859724,0.9549436
0.80444074,0.74424917,0.79850245
0.7914597,0.7435466,0.7371869
0.9278368,0.9000134,0.9142848
0.8057261,0.7830658,0.762059
0.7875928,0.7531001,0.7427797
0.8479147,0.8016815,0.8278363
0.9159485,0.84787947,0.8255596
0.7858363,0.75430286,0.63219607
0.92480224,0.91319615,0.877708
0.894145,0.88519555,0.80572927
0.88204956,0.8386705,0.8380309
0.7062975,0.72038347,0.6293589
0.92319083,0.92461884,0.92754185
0.81020254,0.7121884,0.7557081
0.8929112,0.8764589,0.86285543
0.92477345,0.9333688,0.9298745
0.91541207,0.8894758,0.8961824
0.88408995,0.85146964,0.8496622
0.8208727,0.84004426,0.8134589
0.9429669,0.94491315,0.9313915
0.9379904,0.9339597,0.9313071
0.8746727,0.8697367,0.8952329
0.81585026,0.7392014,0.74468434
0.8914297,0.9084381,0.8664307
0.8208568,0.81259775,0.82740605
0.90492415,0.9354922,0.90524447
0.8633864,0.87931937,0.8574485
0.83995694,0.824882,0.77663064
0.8469355,0.8101746,0.80752355
0.91519713,0.9106883,0.8486409
0.94741756,0.94646513,0.9419091
0.9169054,0.90240014,0.8234724
0.88194925,0.87376654,0.87469697
0.8693523,0.8371302,0.85589933
0.88637906,0.8889756,0.87244487
0.9047801,0.9068364,0.89018005
0.8376564,0.8543204,0.8319758
0.88123864,0.8887873,0.88607746
0.9336356,0.74164194,0.754163
0.87996733,0.8616768,0.8764815
0.9058269,0.8458123,0.89402115
0.8334737,0.8561497,0.72128004
0.89980507,0.8647436,0.8831155
0.90571713,0.8876012,0.8701832
0.899035,0.89897424,0.89783025
0.7447855,0.7173816,0.6540715
0.93246716,0.94106907,0.91780466
0.71757746,0.7089607,0.6536442
0.9292185,0.9163191,0.9144116
0.80990714,0.7917566,0.80571276
0.7103798,0.7250188,0.68991846
0.9511074,0.956773,0.9430793
0.88083637,0.8585811,0.85271204
0.8473349,0.82203215,0.8463274
0.88113153,0.8395213,0.8487068
0.91406476,0.9146707,0.85180694
0.91421485,0.8119518,0.8004493
0.821066,0.86446726,0.8362652
0.87549394,0.86600715,0.86487275
0.89169216,0.8563619,0.6481435
0.652519,0.6433979,0.6424252
0.86212116,0.8322165,0.79653084
0.82580614,0.7889515,0.7642425
0.9026842,0.87749505,0.850242
0.8775761,0.76425356,0.7635178
0.9394601,0.8980522,0.8874948
0.7790175,0.7956464,0.7468147
0.83486795,0.7771921,0.8164349
0.906361,0.9038687,0.87311053
0.93145174,0.92869246,0.8973756
0.78430545,0.851214,0.7889004
0.83434534,0.8190291,0.8280045
0.8892021,0.7607599,0.7210177
0.8847187,0.8879185,0.87483764
0.88697946,0.8554311,0.9032557
0.87835664,0.8771267,0.8115256
0.91507316,0.90951216,0.92156935
0.94306713,0.9299128,0.9266057
0.81611556,0.70775783,0.66176623
0.8824164,0.7626489,0.775585
0.90201646,0.89526284,0.8946085
0.89618397,0.87571776,0.89961296
0.74122727,0.77478313,0.74231005
0.8798251,0.8589314,0.8285662
0.9308473,0.93395966,0.9320128
0.73207843,0.72913265,0.7233436
0.92603815,0.8009898,0.8645267
0.89428335,0.87346697,0.84499377
0.93113124,0.9015037,0.9201046
0.87592244,0.85474473,0.8803508
0.837831,0.7968472,0.82395935
0.878916,0.845509,0.84220594
0.82423544,0.73672086,0.7218305
0.8344203,0.84888536,0.84048617
0.9054433,0.90796113,0.83071756
0.83885694,0.8309151,0.7774508
0.92757833,0.89544666,0.88721454
0.85352445,0.81013906,0.80742455
0.8476401,0.8074254,0.7571146
0.80535656,0.7751339,0.7207484
0.90602773,0.8856167,0.8508553
0.81685615,0.7689105,0.78484935
0.84536076,0.81804967,0.80876017
0.8719323,0.8727361,0.87105495
0.86663866,0.88819015,0.882358
0.9575142,0.90805876,0.84444004
0.9393828,0.9225881,0.8836008
0.86598265,0.72485006,0.8828392
0.8874628,0.8954526,0.88994837
0.93498945,0.87681305,0.86652774
0.9069804,0.8534026,0.85934055
0.72220504,0.6933559,0.63448644
0.7865925,0.77033585,0.72089523
0.914802,0.8709431,0.8739054
0.8423536,0.8138561,0.8041386
0.828779,0.79864717,0.79688686
0.7582892,0.7996225,0.7348561
0.93334603,0.9158426,0.9300103
0.90443534,0.9002095,0.8668564
0.8763525,0.82402337,0.8094241
0.9482125,0.9381869,0.9319428
0.8188653,0.82306993,0.7981143
0.8361745,0.8007054,0.8330349
0.8447254,0.8426367,0.8387376
0.6802677,0.6722361,0.6425898
0.85081995,0.84676313,0.79802966
0.8817216,0.8847587,0.84790033
0.79789776,0.799839,0.81818295
0.87519443,0.8720015,0.8471069
0.8177271,0.83239704,0.8006288
0.927676,0.8298222,0.77441746
0.91057026,0.8865679,0.90198493
0.8865941,0.86613023,0.85138094
0.90294117,0.8785536,0.8378923
0.8942869,0.7323067,0.7132817
0.81974554,0.88148284,0.8545367
0.8944597,0.8799784,0.8617095
0.91730464,0.9281101,0.9218959
0.9232607,0.9209411,0.8914637
0.802438,0.81596756,0.80684376
0.8542434,0.86796165,0.81686807
0.8536716,0.8278438,0.8045349
0.8307322,0.7752912,0.78619003
0.86580545,0.8004843,0.8038695
0.8845915,0.8190957,0.83004487
0.70076686,0.7821801,0.7583724
0.8094411,0.8041915,0.83631873
0.8567512,0.8311,0.8440526
0.89075416,0.86884165,0.86107975
0.9259033,0.91578245,0.89856595
0.9165373,0.85114324,0.86570823
0.82361543,0.86472845,0.8317549
0.81434226,0.82189345,0.87646806
0.8061388,0.788105,0.7797074
0.8758134,0.8407954,0.8493778
0.9162002,0.9055656,0.8886919
0.8399136,0.84013206,0.8217441
0.9445457,0.89079887,0.8823848
0.6857085,0.70251715,0.60342425
0.9317962,0.8662734,0.7811581
0.9363912,0.879885,0.8616984
0.6725067,0.6800429,0.63315755
0.82696134,0.7634411,0.7702045
0.838462,0.80669713,0.8045809
0.91098654,0.85061765,0.8259841
0.8423729,0.90128314,0.83745056
0.92939806,0.92251766,0.8956101
0.74751544,0.73508245,0.7612428
0.88570577,0.86068517,0.8443254
0.94020927,0.93750906,0.9179454
0.89854443,0.90374887,0.86438465
0.8494164,0.8166503,0.78898346
0.8841255,0.8849643,0.86037326
0.8012402,0.7659371,0.75622773
0.9238235,0.94116473,0.91725576
0.84929156,0.76881987,0.69461095
0.85360324,0.8509114,0.8627347
0.8343335,0.81009364,0.8056427
0.8532729,0.7909097,0.8100108
0.92096424,0.8945845,0.88893855
0.7593686,0.77304155,0.7617711
0.89865184,0.8979285,0.86466545
0.77114683,0.6938571,0.70559496
0.8668465,0.8687575,0.74142283
0.94936675,0.9223528,0.9114877
0.84634084,0.8893586,0.8462595
0.87947977,0.83473593,0.8777233
0.798859,0.7288953,0.70437574
0.96545494,0.9607534,0.95959866
0.9155823,0.9171712,0.9136721
0.9433744,0.9399053,0.9454468
0.92757833,0.90902245,0.90245986
0.79580116,0.79852855,0.79083943
0.7426363,0.6981946,0.7244633
0.9264924,0.8965888,0.9172707
0.88507783,0.8922783,0.88188493
0.8931421,0.8467286,0.8581257
0.8861965,0.862484,0.8536884
0.9115965,0.9028941,0.89880437
0.8832979,0.9397756,0.8829936
0.7278245,0.7177557,0.7792486
0.78177303,0.6863972,0.6640997
0.8160571,0.8223864,0.8074096
0.89197445,0.7501621,0.7744567
0.826929,0.81459445,0.8084892
0.8313724,0.70134336,0.71482134
0.8929025,0.87107265,0.88159376
0.9201299,0.86446655,0.9206866
0.91959894,0.80578434,0.79982054
0.872289,0.86527884,0.8208882
0.8215575,0.78041816,0.78768504
0.8697167,0.84456205,0.8479978
0.9097605,0.9077862,0.8974503
0.90024936,0.8353678,0.83167773
0.8128268,0.8385568,0.8461263
0.93317515,0.9387224,0.8833344
0.94899595,0.88360214,0.90350604
0.74650794,0.82127786,0.8199792
0.8999858,0.88917416,0.89872587
0.889156,0.83792216,0.80961275
0.86203206,0.80169666,0.8065733
